"company","emissions_ton","revenue_musd","industry","base_year","target_year","num_target_types","emissions1","emissions2","emissions3","emissions4","certified"
"Enbridge","68,534,000","41,270","","","","0","60,157,400 (2020)","111,054 (2021)","68,534,000 (2022)","","Yes"
"Enea","874","92","","","","0","874 (2022)","","","","Yes"
"Enel SpA","95,573,000","103,440","Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)","2017.0","2040.0","3","128,660,000 (2021)","129,210,000 (2022)","95,573,000 (2023)","","Yes"
"Eni","228,420,000","","","","","0","267,790,000 (2019)","243,890,000 (2020)","216,890,000 (2021)","218,680,000 (2022)","Yes"
"Epiroc AB","5,780,000","5,775","Electrical Equipment and Machinery","","","1","5,459,000 (2019)","3,925,000 (2020)","4,940,000 (2021)","5,303,000 (2022)","Yes"
"Equinor","268,790,000","","","","","0","267,510,000 (2021)","260,750,000 (2022)","268,790,000 (2023)","","Yes"
"Ericsson Group","37,251,437","24,834","Technology Hardware and Equipment","2020.0","2040.0","3","28,118,864 (2021)","30,928,019 (2022)","37,251,437 (2023)","","Yes"
"Essity AB","2,476,000","13,876","Consumer Durables, Household and Personal Products","2016.0","2050.0","3","7,755,000 (2016)","3,042,000 (2019)","6,976,000 (2020)","6,974,000 (2021)","Yes"
"Eton Group AB","19,421","101","Textiles, Apparel, Footwear and Luxury Goods","","","1","19,421 (2022)","","","","Yes"
"Evolution","7,373","170","","","","0","5,481 (2022)","7,373 (2023)","","","Yes"
"ExxonMobil","643,000,000","393,160","","","","0","103,000,000 (2021)","643,000,000 (2022)","","","Yes"
"Fabege AB","14,969","371","Real Estate","","","1","30,716 (2022)","14,969 (2023)","","","Yes"
"Facebook","4,067,000","85,965","","","","0","4,330,000 (2019)","4,067,000 (2020)","","","Yes"
"Fagerhult Group","1,166,952","807","Electrical Equipment and Machinery","2021.0","2045.0","3","1,526,490 (2021)","1,521,500 (2022)","1,166,952 (2023)","","Yes"
"Fastighets AB Balder","241,377","1,126","Real Estate","2022.0","2045.0","3","254,878 (2022)","241,377 (2023)","","","Yes"
"Fastpartner AB","15,887","191","Real Estate","2021.0","2045.0","3","15,887 (2022)","","","","Yes"
"FedEx","22,247,332","92,620","","","","0","19,414,171 (2020)","21,448,385 (2021)","22,247,332 (2022)","","Yes"
"Foodmark AB","43,075","94","Food and Beverage Processing","","","4","45,118 (2020)","43,593 (2021)","43,075 (2022)","","Yes"
"Ford Motor Company","337,800,000","165,060","Automobiles and Components","","","1","302,970,000 (2021)","337,800,000 (2022)","","","Yes"
"Fortnox","2,446","155","","","","0","1,078 (2021)","370 (2022)","2,446 (2023)","","Yes"
"Fortum Corporation","14,325,600","7,264","Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)","","","0","31,724,100 (2021)","11,733,700 (2022)","14,325,600 (2023)","","Yes"
"Foxway Group AB","341,812","584","Trading Companies and Distributors, and Commercial Services and Supplies","2022.0","2050.0","3","341,812 (2022)","","","","Yes"
"Fresenius","1,521,000","41,400","","","","0","1,521,000 (2020)","","","","Yes"
"Fubon Financial","53,752","35,200","","","","0","53,752 (2020)","","","","Yes"
"GANT Holding AB","96,725","","","","","0","83,000 (2020)","80,893 (2021)","96,725 (2022)","","Yes"
"GN Store Nord A/S","350,645","2,631","Consumer Durables, Household and Personal Products","","","1","440,749 (2021)","465,037 (2022)","350,645 (2023)","","Yes"
"GSK","645,000","37,725","Pharmaceuticals, Biotechnology and Life Sciences","2020.0","2045.0","3","10,829,000 (2020)","9,388,000 (2021)","9,709,000 (2022)","645,000 (2023)","Yes"
"General Electric","10,401,708","74,020","","","","0","2,080,000 (2020)","10,893,605 (2021)","10,401,708 (2022)","","Yes"
"Generali","146,333","32,030","","","","0","120,999 (2020)","147,303 (2021)","146,333 (2022)","","Yes"
"Genexis Group","20,371","36","Software and Services","2022.0","2050.0","3","20,371 (2022)","","","","Yes"
"Genmab","555","2,392","","","","0","639 (2021)","147,721 (2022)","555 (2023)","","Yes"
"Genova Property Group AB","2,427","47","Real Estate","","","1","1,417.5 (2021)","1,239 (2022)","2,427 (2023)","","Yes"
"Getinge AB","4,509","2,999","Healthcare Equipment and Supplies","2021.0","2050.0","3","18,741 (2020)","14,669 (2021)","8,176 (2022)","4,509 (2023)","Yes"
"Gilead Sciences, Inc.","111,338","27,370","Pharmaceuticals, Biotechnology and Life Sciences","","","1","111,338 (2021)","","","","Yes"
"Gina Tricot","46,915","98","Retailing","","","1","37,345 (2020)","51,246 (2021)","46,915 (2022)","","Yes"
"Glencore","432,808,160","217,829","","","","0","553,653,679 (2019)","440,792,002 (2020)","441,847,548 (2021)","397,489,629 (2022)","Yes"
"Godsinlösen Nordic AB","373","20","Trading Companies and Distributors, and Commercial Services and Supplies","2021.0","2050.0","3","373 (2021)","","","","Yes"
"Goldman Sachs Group","227,364","79,450","","","","0","180,296 (2020)","180,913 (2021)","227,364 (2022)","","Yes"
"Google","10,326,109","181,690","","","","0","12,529,953 (2019)","10,326,109 (2020)","","","Yes"
"Greenfood AB","36,627","525","Food and Beverage Processing","","","1","40,238 (2021)","36,627 (2022)","","","Yes"
"Gränges AB","4,328,700","2,430","Mining - Iron, Aluminum, Other Metals","2021.0","2040.0","3","3,508,500 (2020)","4,604,400 (2021)","4,328,700 (2022)","","Yes"
"H&M Group","8,586,805","22,258","Textiles, Apparel, Footwear and Luxury Goods","2019.0","2040.0","3","11,409,757 (2019)","10,012,633 (2021)","9,413,599 (2022)","8,586,805 (2023)","Yes"
"HDFC","18,902","19,040","","","","0","414,000 (2020)","15,988 (2021)","18,902 (2022)","","Yes"
"HDFC Bank","352,241","25,470","","","","0","414,200 (2020)","315,142 (2021)","352,241 (2022)","","Yes"
"HEXPOL AB","213,760","2,079","Chemicals","","","0","104,870 (2022)","213,760 (2023)","","","Yes"
"HL Display AB","83,925","187","Retailing","","","1","83,925 (2022)","","","","Yes"
"HMS Networks AB","82,985","285","Technology Hardware and Equipment","","","0","309 (2020)","449 (2021)","76,663 (2022)","82,985 (2023)","Yes"
"HP Inc","44,974,200","57,700","Technology Hardware and Equipment","","","2","44,974,200 (2020)","","","","Yes"
"HSBC Holdings","285,000","73,980","","","","0","444,000 (2020)","341,000 (2021)","285,000 (2022)","","Yes"
"Handelsbanken","12,129","7,869","","","","0","12,129 (2022)","","","","Yes"
"Hansa Biopharma","6,283","15","","","","0","6,283 (2022)","","","","Yes"
"Happy Socks","7,782","50","Textiles, Apparel, Footwear and Luxury Goods","","","1","15,317 (2020)","14,797 (2021)","7,782 (2022)","","Yes"
"Heba Fastighets AB","5,977","53","Real Estate","","","1","15,091 (2021)","13,176 (2022)","5,977 (2023)","","Yes"
"Heimstaden Bostad AB","159,697","1,412","Real Estate","","","2","444,816 (2020)","550,935 (2021)","659,019 (2022)","159,697 (2023)","Yes"
"Hemnet AB","432","88","Software and Services","2021.0","2050.0","3","135 (2020)","349 (2021)","432 (2022)","","Yes"
"Hemsö Fastighets AB","85,833","454","Real Estate","2022.0","2040.0","3","122,653 (2022)","85,833 (2023)","","","Yes"
"Hexagon AB","409,656","5,888","Software and Services","2022.0","2050.0","5","401,342 (2022)","409,656 (2023)","","","Yes"
"Hexatronic Group AB","597,487","652","Technology Hardware and Equipment","","","0","6,512 (2020)","7,462 (2021)","597,487 (2022)","","Yes"
"Hitachi, Ltd.","2,692,400","80,290","Technology Hardware and Equipment","","","1","72,370,000 (2020)","707,500 (2021)","2,692,400 (2022)","","Yes"
"Holcim Ltd.","127,000,000","30,080","Construction Materials","2018.0","2050.0","3","130,000,000 (2022)","139,000,000 (2021)","127,000,000 (2023)","","Yes"
"Holmen AB","675,000","2,150","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","","","2","585,000 (2019)","577,000 (2020)","707,000 (2021)","691,000 (2022)","Yes"
"Hon Hai Precision Inc. Co., Ltd.","5,757,619","222,290","Technology Hardware and Equipment","","","1","5,519,742 (2020)","6,220,782 (2021)","5,757,619 (2022)","","Yes"
"Honda Motor","280,020,000","124,680","","","","0","303,120,000 (2020)","254,480,000 (2021)","280,020,000 (2022)","","Yes"
"Honeywell International Inc.","19,957,485","35,940","Electrical Equipment and Machinery","","","1","2,248,306 (2020)","18,870,831 (2021)","19,957,485 (2022)","","Yes"
"Hufvudstaden AB","5,576","192","Real Estate","","","1","4,561 (2022)","5,576 (2023)","","","Yes"
"Huhtamäki Oyj","3,626,000","4,513","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","","","2","4,123,000 (2022)","3,626,000 (2023)","4,118,000 (2019)","","Yes"
"Hultafors Group AB","3,808","659","Consumer Durables, Household and Personal Products","","","0","3,468 (2020)","4,505 (2021)","3,808 (2022)","","Yes"
"Humana Inc.","31,085","95,640","Healthcare Providers and Services, and Healthcare Technology","","","1","80,181 (2020)","6,621 (2021)","31,085 (2022)","","Yes"
"Husqvarna AB","3,803,009","5,023","Consumer Durables, Household and Personal Products","","","1","6,770,696 (2015)","6,068,858 (2016)","6,263,781 (2017)","6,272,221 (2018)","Yes"
"Hyundai Motor","108,349,324","114,550","","","","0","96,277,571 (2020)","33,740,000 (2021)","108,349,324 (2022)","","Yes"
"Höganäs AB","761,600","1,216","Mining - Iron, Aluminum, Other Metals","2018.0","2040.0","3","787,300 (2020)","917,400 (2021)","761,600 (2022)","","Yes"
"IBM","431,000","60,580","","","","0","880,188 (2020)","476,000 (2021)","431,000 (2022)","","Yes"
"ICA Gruppen","92,887","13,923","Food and Staples Retailing","2022.0","2050.0","4","78,791 (2021)","92,575 (2022)","92,887 (2023)","","Yes"
"ICBC","2,021,300","216,770","","","","0","2,162,600 (2021)","2,021,300 (2022)","","","Yes"
"ICICI Bank","284,000","23,170","","","","0","145,000 (2020)","274,000 (2021)","284,000 (2022)","","Yes"
"IFS","22,054","","Software and Services","","","1","19,203 (2021)","22,054 (2022)","","","Yes"
"ING Group","28,000","19,510","Banks, Diverse Financials, Insurance","","","0","26,000 (2021)","28,000 (2022)","","","Yes"
"INVISIO","1,715","71","","","","0","1,715 (2022)","","","","Yes"
"ISS A/S","1,623,961","11,424","Trading Companies and Distributors, and Commercial Services and Supplies","","","1","77,474 (2020)","1,731,089 (2019)","83,564 (2021)","1,597,006 (2022)","Yes"
"Iberdrola SA","55,239,711","59,550","Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)","2020.0","2039.0","3","72,706,245 (2020)","59,530,759 (2021)","55,239,711 (2022)","","Yes"
"If P&C Insurance Holding Ltd. (publ)","383,126","5,917","Banks, Diverse Financials, Insurance","","","3","383,126 (2023)","","","","Yes"
"Industrial Bank","55,536","59,080","","","","0","56,795 (2021)","55,536 (2022)","","","Yes"
"Industrivärden","38","2,546","","","","0","38 (2022)","38 (2023)","","","Yes"
"Indutrade AB","52,580","3,002","Electrical Equipment and Machinery","","","0","19,765 (2021)","21,544 (2022)","52,580 (2023)","","Yes"
"Intel","32,748,000","77,870","","","","0","32,748,000 (2020)","","","","Yes"
"Intesa Sanpaolo","183,408","36,360","Banks, Diverse Financials, Insurance","","","0","132,964 (2020)","193,235 (2021)","183,408 (2022)","","Yes"
"Intrum","18,058","1,878","","","","0","18,058 (2022)","","","","Yes"
"Investor","191,357","17,020","","","","0","118 (2016)","77 (2021)","218,742 (2022)","191,357 (2023)","Yes"
"Inwido AB","174,244","855","Building Products","2022.0","2050.0","3","174,244 (2021)","","","","Yes"
"Itaú Unibanco Holding","82,919","53,170","","","","0","128,672 (2020)","131,434 (2021)","82,919 (2022)","","Yes"
"Itochu","4,642,701","104,490","","","","0","2,037,000 (2020)","4,808,399 (2021)","4,642,701 (2022)","","Yes"
"Iver Management AB","53,954","","Software and Services","","","1","54,149 (2021)","53,954 (2022)","","","Yes"
"JD.com","3,600,145","155,260","","","","0","2,275,935 (2020)","2,416,408 (2021)","3,600,145 (2022)","","Yes"
"JM","89,379","1,562","","","","0","94,567 (2021)","89,379 (2022)","","","Yes"
"JPMorgan Chase","1,029,014","179,930","","","","0","766,340 (2020)","878,761 (2021)","1,029,014 (2022)","","Yes"
"Japan Post Holdings","2,276,059","103,580","","","","0","2,677,897 (2020)","2,276,059 (2021)","","","Yes"
"John Mattson Fastighetsföretagen AB","6,333","58","Real Estate","","","1","8,912 (2021)","4,084 (2022)","6,333 (2023)","","Yes"
"Johnson & Johnson","10,027,167","96,310","Pharmaceuticals, Biotechnology and Life Sciences","","","2","21,011,556 (2020)","10,888,152 (2021)","10,027,167 (2022)","","Yes"
"Jyske Bank","2,008,617","2,084","","","","0","3,840 (2020)","4,639 (2019)","2,051,468 (2021)","1,849,824 (2022)","Yes"
"K2A Knaust & Andersson","8,649","37","Real Estate","","","1","26,105 (2021)","8,649 (2022)","","","Yes"
"KABE Group","2,003","351","","","","0","2,003 (2022)","","","","Yes"
"KB Financial Group","139,888","30,800","Banks, Diverse Financials, Insurance","","","2","139,888 (2020)","","","","Yes"
"KDDI Corporation","6,147,308","42,700","Telecommunication Services","","","1","6,446,180 (2020)","6,444,905 (2021)","6,147,308 (2022)","","Yes"
"KONE Corporation","12,692,300","11,854","Electrical Equipment and Machinery","","","1","15,529,500 (2021)","13,206,400 (2022)","12,692,300 (2023)","","Yes"
"KPMG International Limited","149,149","2,953","Professional Services","","","1","149,149 (2020)","","","","Yes"
"Kappahl AB","162,147","501","Textiles, Apparel, Footwear and Luxury Goods","2022.0","2040.0","3","161,520 (2021)","162,147 (2022)","","","Yes"
"Karo Healthcare AB","162,327","410","Consumer Durables, Household and Personal Products","2022.0","2040.0","3","162,327 (2022)","","","","Yes"
"Kesko Corporation","11,631,547","12,755","Food and Staples Retailing","","","2","9,723,153 (2020)","8,004,705 (2022)","11,631,547 (2023)","","Yes"
"Kinnevik","348.8","-406","","","","0","510.9 (2019)","89.8 (2020)","90.5 (2021)","327.2 (2022)","Yes"
"Knightec","356","101","Professional Services","","","0","389 (2022)","356 (2023)","","","Yes"
"Knorr-Bremse AG","42,191,000","8,579","Ground Transportation - Highways and Railtracks","","","1","53,000 (2020)","38,461,000 (2021)","28,442,000 (2022)","42,191,000 (2023)","Yes"
"Knowit AB (publ)","5,690","636","Software and Services","","","1","5,690 (2022)","","","","Yes"
"Konecranes Oyj","5,286,000","4,293","Electrical Equipment and Machinery","","","1","5,165,800 (2021)","4,693,700 (2022)","5,286,000 (2023)","","Yes"
"LSTH Svenska Handelsfastigheter AB","1,325","105","Real Estate","","","1","1,373 (2020)","1,607 (2021)","1,325 (2022)","","Yes"
"LVMH","833,586","83,220","Textiles, Apparel, Footwear and Luxury Goods","","","2"," (2020)","376,376 (2021)","833,586 (2022)","","Yes"
"Lagercrantz Group","19,660","697","","","","0","19,660 (2022)","","","","Yes"
"Lantmännen Cerealia","245,600","6,149","Food and Beverage Processing","","","2","224,030 (2020)","250,100 (2021)","254,700 (2022)","245,600 (2023)","Yes"
"Latour","19,564","2,411","","","","0","19,446 (2022)","19,564 (2023)","","","Yes"
"Legal & General","41,625","64,400","","","","2","41,625 (2020)","","","","Yes"
"Lifco AB","29,284","2,306","","","","0","28,166 (2019)","24,656 (2020)","24,285 (2021)","28,478 (2022)","Yes"
"Lime Technologies","177","46","","","","0","177 (2022)","","","","Yes"
"Lindab International AB","1,124,554","1,191","Building Products","","","0","1,124,554 (2022)","","","","Yes"
"Linde plc","64,653,000","33,364","Chemicals","","","1","55,321,000 (2019)","52,949,000 (2020)","61,155,000 (2021)","64,653,000 (2022)","Yes"
"Lintex AB","9,010","41","Consumer Durables, Household and Personal Products","","","1","8,600 (2020)","9,010 (2021)","","","Yes"
"Lloyds Banking","175,411","27,970","","","","0","159,487 (2020)","184,104 (2021)","175,411 (2022)","","Yes"
"Lockheed Martin","31,597,954","66,150","","","","0","32,471,582 (2021)","31,597,954 (2022)","","","Yes"
"Longfor Group Holdings","549,386","27,000","","","","0","549,386 (2020)","","","","Yes"
"Loopia Group AB","1,931","64","Software and Services","","","1","1,931 (2022)","","","","Yes"
"Lowe's","165,141,000","97,060","","","","0","1,971,000 (2020)","180,306,000 (2021)","165,141,000 (2022)","","Yes"
"Lundbergföretagen, LE","702,714","2,703","","","","0","739,551 (2021)","718,100 (2022)","702,714 (2023)","","Yes"
"MEKO AB","468,539","1,352","Retailing","","","0","468,539 (2022)","","","","Yes"
"MTG","5,158","597","","","","0","5,158 (2021)","","","","Yes"
"Magnolia Bostad AB","3,270","29","Real Estate","","","1","2,995 (2022)","3,270 (2023)","","","Yes"
"Mandatum","1,176","","","","","0","1,176 (2023)","509 (2021)","850 (2022)","","Yes"
"Mannheimer Swartling","5,508","","Professional Services","","","1","2,901 (2021)","3,473 (2022)","5,508 (2023)","","Yes"
"Manulife","1,288,020","57,200","","","","0","1,288,020 (2020)","","","","Yes"
"Marathon Petroleum","437,710,000","174,050","","","","0","412,100,000 (2021)","437,710,000 (2022)","","","Yes"
"Marriott International, Inc.","10,569,022","20,773","Hotels, Restaurants and Leisure, and Tourism Services","2019.0","2050.0","4","8,849,016 (2020)","10,108,215 (2021)","10,569,022 (2022)","","Yes"
"Mastercard","562,583","22,820","Software and Services","","","1","459,959 (2020)","548,702 (2021)","562,583 (2022)","","Yes"
"McDonald's Corporation","57,386,480","23,220","Hotels, Restaurants and Leisure, and Tourism Services","2018.0","2050.0","3","59,782,412 (2020)","57,386,480 (2021)","","","Yes"
"McKesson Corporation","27,119,447","273,900","Pharmaceuticals, Biotechnology and Life Sciences","","","2","26,064,784 (2021)","27,119,447 (2022)","","","Yes"
"Medicover","358,189","1,544","","","","0","358,189 (2022)","","","","Yes"
"Medtronic PLC","284,706","30,770","Healthcare Equipment and Supplies","","","0","280,500 (2020)","271,000 (2021)","284,706 (2022)","","Yes"
"Mercedes-Benz AG","2,923,000","158,780","Automobiles and Components","","","1","3,037,000 (2021)","2,923,000 (2022)","","","Yes"
"Merck & Co.","7,851,500","57,090","","","","0","8,234,250 (2020)","8,026,500 (2021)","7,851,500 (2022)","","Yes"
"MetLife, Inc.","66,651","69,530","Banks, Diverse Financials, Insurance","","","0","84,071 (2020)","66,096 (2021)","66,651 (2022)","","Yes"
"Meta Platforms, Inc.","8,533,471","117,350","Media","","","3","5,830,243 (2021)","8,533,471 (2022)","","","Yes"
"Metso","4,084,181","5,834","","","","2","3,080,999 (2020)","3,736,956 (2021)","3,844,595 (2022)","4,084,181 (2023)","Yes"
"Micron Technology","7,141,289","23,500","","","","0","7,141,289 (2020)","","","","Yes"
"Microsoft Corporation","22,860,663","207,590","Software and Services","","","1","15,037,806 (2020)","18,973,371 (2021)","22,860,663 (2022)","","Yes"
"Midsona AB","114,845","387","Food and Beverage Processing","2022.0","2045.0","6","135,691 (2020)","127,568 (2021)","114,845 (2022)","","Yes"
"MiljöMatematik Malmö AB","23","0","Professional Services","","","1","23 (2021)","","","","Yes"
"Millicom International Cellular S.A.","1,563,288","5,661","Telecommunication Services","","","2","2,381,936 (2021)","1,753,488 (2022)","1,563,288 (2023)","","Yes"
"Mips AB","4,434","34","Consumer Durables, Household and Personal Products","","","1","4,434 (2023)","","","","Yes"
"Mitsubishi","183,473,000","161,020","","","","0","20,654,000 (2020)","160,872,000 (2021)","183,473,000 (2022)","","Yes"
"Mitsubishi UFJ Financial","275,366","48,280","","","","0","175,245 (2020)","275,366 (2021)","","","Yes"
"Mitsui","40,222,000","55,630","","","","0","35,914,000 (2020)","101,267,000 (2021)","40,222,000 (2022)","","Yes"
"Mizuho Financial","147,583","91,780","","","","0","172,251 (2020)","150,002 (2021)","147,583 (2022)","","Yes"
"Mondelez International Inc","29,925,000","32,900","Food and Beverage Processing","2018.0","2050.0","4"," (2020)","29,390,386 (2021)","29,925,000 (2022)","","Yes"
"Morgan Stanley","504,910","74,160","","","","0","448,958 (2021)","504,910 (2022)","","","Yes"
"Movator AB","1,203.2","23","Ground Transportation - Trucking Transportation","","","1","1,203.2 (2023)","","","","Yes"
"Munich Re","3,198,527","79,520","","","","0","102,928 (2020)","4,059,148 (2021)","3,198,527 (2022)","","Yes"
"Munters Group AB","4,542,806","996","","","","0","4,542,806 (2022)","","","","Yes"
"Mycronic","188,968","538","Technology Hardware and Equipment","","","1","210,637 (2022)","188,968 (2023)","","","Yes"
"Mölnlycke Health Care AB","521,400","2,083","Healthcare Equipment and Supplies","","","3","654,700 (2021)","587,700 (2022)","521,400 (2023)","","Yes"
"Møller-Maersk","77,957,000","76,610","","","","0","53,561,000 (2020)","76,383,000 (2021)","77,957,000 (2022)","","Yes"
"NA-KD","46,062","233","Textiles, Apparel, Footwear and Luxury Goods","","","1","70,764 (2020)","66,580 (2021)","46,062 (2022)","","Yes"
"NAB - National Australia Bank","121,612","26,270","","","","0","132,631 (2021)","121,612 (2022)","","","Yes"
"NCC AB","284,000","5,376","","","","0","335,000 (2020)","296,000 (2021)","284,000 (2022)","","Yes"
"NH Hotel Group","83,953","2,341","Hotels, Restaurants and Leisure, and Tourism Services","2019.0","2050.0","3","440,775 (2022)","83,953 (2023)","","","Yes"
"NIBE Industrier","42,055,068","4,399","","","","0","27,554 (2019)","28,312 (2020)","41,760,526 (2021)","47,102,576 (2022)","Yes"
"NIKE, Inc.","10,029,259","50,640","Textiles, Apparel, Footwear and Luxury Goods","","","1","11,706,661 (2020)","10,950,116 (2021)","10,029,259 (2022)","","Yes"
"NKT Cables Group A/S","8,137,494","2,779","Electrical Equipment and Machinery","","","2","6,587,215 (2020)","6,742,551 (2021)","10,436,578 (2022)","8,137,494 (2023)","Yes"
"NP3 Fastigheter AB","11,614","169","Real Estate","2022.0","2045.0","3","6,152 (2022)","11,614 (2023)","","","Yes"
"NVIDIA","2,839,658","26,970","","","","0","2,182,763 (2021)","2,839,658 (2022)","","","Yes"
"National Grid (Group) PLC","35,124,000","21,180","Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)","","","2","39,957,000 (2020)","35,323,000 (2021)","35,124,000 (2022)","","Yes"
"Nederman Holding AB","5,978","447","Electrical Equipment and Machinery","2022.0","2050.0","3","5,978 (2021)","","","","Yes"
"Neste Oyj","60,754,000","24,815","","","","0","37,337,000 (2021)","44,466,000 (2022)","60,754,000 (2023)","","Yes"
"Nestlé","87,550,000","103,572","Food and Beverage Processing","2018.0","2050.0","4","97,800,000 (2022)","104,360,000 (2020)","103,570,000 (2021)","87,550,000 (2023)","Yes"
"Netel Holding AB (publ)","74,222","329","Telecommunication Services","","","0","38,966 (2022)","74,222 (2023)","","","Yes"
"Netflix","1,187,632","31,910","Media","","","1","1,190,659 (2020)","1,571,603 (2021)","1,187,632 (2022)","","Yes"
"News Corp","2,628,153","","Media","2016.0","2050.0","3","2,628,153 (2020)","","","","Yes"
"Nexer Group AB","1,213","299","Professional Services","","","0","940 (2021)","1,213 (2022)","","","Yes"
"NextEra Energy","45,436,674","23,740","","","","0","43,332,124 (2020)","45,436,674 (2021)","","","Yes"
"Nielsen (Europe 2019)","10,084","","","","","0","10,084 (2020)","","","","Yes"
"Nielsen (Global 2019)","132,334","6,290","","","","0","132,334 (2019)","","","","Yes"
