"company","emissions_ton","revenue_musd","industry","base_year","target_year","num_target_types","emissions1","emissions2","emissions3","emissions4","certified"
"Nielsen (Global 2020)","62,687","6,498","","","","0","62,687 (2020)","","","","Yes"
"Nippon Telegraph & Tel","22,020,000","97,360","","","","0","3,070,000 (2020)","23,717,000 (2021)","22,020,000 (2022)","","Yes"
"Nobia AB","429,105","1,261","Consumer Durables, Household and Personal Products","","","2","356,294 (2021)","494,475 (2022)","429,105 (2023)","","Yes"
"Nobina AB","180,298","1,288","Ground Transportation - Trucking Transportation","","","1","183,569 (2020)","183,809 (2021)","180,298 (2022)","","Yes"
"Nokia Group","35,409,500","24,092","Technology Hardware and Equipment","","","1","35,975,000 (2020)","40,985,300 (2021)","39,715,200 (2022)","35,409,500 (2023)","Yes"
"Nolato AB","327,991","900","Technology Hardware and Equipment","","","1","466,556 (2021)","392,092 (2022)","327,991 (2023)","","Yes"
"Nordea Bank abp","20,372","12,760","","","","0","11,327 (2021)","18,155 (2022)","20,372 (2023)","","Yes"
"Nordic Waterproofing Holding","143,758","417","","","","0","143,758 (2022)","","","","Yes"
"Nordlo Group AB","9,877","180","Software and Services","","","0","1,233 (2020)","1,513 (2021)","9,877 (2022)","","Yes"
"Nordnet AB","163","310","","","","0","163 (2022)","","","","Yes"
"Norion Bank","110","","","","","0","110 (2021)","","","","Yes"
"Northrop Grumman","705,240","37,110","","","","0","423,668 (2020)","744,750 (2021)","705,240 (2022)","","Yes"
"Novartis","9,272,100","50,950","Pharmaceuticals, Biotechnology and Life Sciences","2022.0","2040.0","3","815,600 (2020)","7,935,900 (2021)","9,272,100 (2022)","","Yes"
"Novo Nordisk A/S","3,831,000","33,724","Pharmaceuticals, Biotechnology and Life Sciences","","","1","93,000 (2021)","2,510,000 (2022)","3,831,000 (2023)","","Yes"
"Novozymes A/S","787,000","2,599","Chemicals","2018.0","2050.0","4","1,152,000 (2018)","895,000 (2022)","787,000 (2023)","","Yes"
"Nyfosa","13,608","303","","","","0","13,608 (2022)","","","","Yes"
"ORANGE","1,333,974","48,200","Telecommunication Services","2021.0","2040.0","4","1,333,974 (2020)","","","","Yes"
"OX2 AB","504,559","738","Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)","","","1","147,683 (2021)","387,317 (2022)","504,559 (2023)","","Yes"
"Occidental Petroleum","235,340,000","25,960","","","","0","235,340,000 (2021)","","","","Yes"
"Office Depot Svenska AB","2,909","101","Retailing","","","1","2,851 (2020)","2,909 (2021)","","","Yes"
"Oil & Natural Gas","8,896,586","86,060","","","","0","9,130,000 (2021)","8,896,586 (2022)","","","Yes"
"Oleter Group AB","19,248","280","Trading Companies and Distributors, and Commercial Services and Supplies","","","3","19,248 (2023)","","","","Yes"
"Open Air Group","410","93","Retailing","","","1","46,825 (2021)","410 (2022)","","","Yes"
"Oracle","1,637,422","47,960","","","","0","2,006,753 (2020)","1,237,346 (2021)","1,637,422 (2022)","","Yes"
"Orexo AB","636","60","","","","0","636 (2022)","","","","Yes"
"Orion Corporation","431,404","1,288","Pharmaceuticals, Biotechnology and Life Sciences","","","2","269,868 (2021)","291,599 (2022)","431,404 (2023)","","Yes"
"Oversea-Chinese Banking","61,618","25,390","","","","0","64,011 (2021)","61,618 (2022)","","","Yes"
"PICC","9,013","90,100","","","","0","9,013 (2021)","","","","Yes"
"PNC Financial Services","263,683","26,180","","","","0","187,041 (2020)","166,421 (2021)","263,683 (2022)","","Yes"
"PTT","80,660,835","96,000","","","","0","86,346,140 (2020)","85,698,059 (2021)","80,660,835 (2022)","","Yes"
"Panasonic","106,611,000","61,900","","","","0","106,611,000 (2020)","","","","Yes"
"Pandora A/S","264,543","4,085","Textiles, Apparel, Footwear and Luxury Goods","2019.0","2050.0","4","341,748 (2022)","264,543 (2023)","","","Yes"
"Pandox AB","105,097","646","Real Estate","","","1","110,089 (2021)","97,722 (2022)","105,097 (2023)","","Yes"
"PayPal","612,300","27,060","Software and Services","","","1","38,700 (2020)","623,600 (2021)","612,300 (2022)","","Yes"
"Peab","1,332,000","6,144","","","","0","1,332,000 (2021)","1,332,000 (2022)","","","Yes"
"PepsiCo, Inc.","45,503,284","88,050","Food and Beverage Processing","","","1","8,885,296 (2020)","44,729,001 (2021)","45,503,284 (2022)","","Yes"
"Perstorp Holding AB","2,799,000","1,518","Chemicals","","","1","3,158,000 (2020)","3,429,000 (2021)","2,799,000 (2022)","","Yes"
"PetroChina","160,560,000","232,120","","","","0","159,540,000 (2021)","160,560,000 (2022)","","","Yes"
"Pfizer Inc.","10,818,749","92,950","Pharmaceuticals, Biotechnology and Life Sciences","","","2","1,205,460 (2020)","5,975,326 (2021)","10,818,749 (2022)","","Yes"
"Philip Morris International","4,597,084","31,810","Tobacco","2019.0","2040.0","4","4,002,999 (2020)","4,122,039 (2021)","4,597,084 (2022)","","Yes"
"Phillips 66","385,200,000","167,870","","","","0","69,800,000 (2021)","385,200,000 (2022)","","","Yes"
"Ping An Insurance Group","326,670","166,370","","","","0","530,298 (2020)","428,995 (2021)","326,670 (2022)","","Yes"
"Plantasjen Holding AS","11,167","443","","","","0","15,117 (2021)","11,167 (2022)","","","Yes"
"Platzer Fastigheter Holding AB (publ)","8,749","137","Real Estate","","","1","5,804 (2022)","8,749 (2023)","","","Yes"
"Poly Developments & Holdings Group","11,092","42,940","","","","0","24,764 (2020)","11,092 (2021)","","","Yes"
"Porsche Automobil Holding","68,534,000","53,309","","","","0","61,940,000 (2021)","68,534,000 (2022)","","","Yes"
"PostNord AB","484,781","3,706","Air Freight Transportation and Logistics","","","1","649,204 (2020)","678,567 (2022)","484,781 (2023)","","Yes"
"Postal Savings Bank Of China (PSBC)","214,017","82,510","","","","0","179,529 (2021)","214,017 (2022)","","","Yes"
"Power Corp of Canada","209,609","43,900","","","","0","209,609 (2020)","","","","Yes"
"PowerCell Group","151","24","","","","0","151 (2022)","","","","Yes"
"Procter & Gamble Company","2,316,000","80,970","Consumer Durables, Household and Personal Products","","","1","2,620,000 (2020)","2,398,000 (2021)","2,316,000 (2022)","","Yes"
"Prudential","50,921","54,800","","","","0","50,921 (2020)","","","","Yes"
"Publicis Group","188,299","","","","","0","188,299 (2020)","","","","Yes"
"Qatar National Bank","79,104","20,770","","","","0","77,528 (2020)","79,104 (2021)","","","Yes"
"Qualcomm Incorporated","6,659,361","41,070","Semiconductors and Semiconductors Equipment","2020.0","2040.0","3","3,329,938 (2020)","4,024,505 (2021)","6,659,361 (2022)","","Yes"
"RBC","100,337","60,220","","","","0","112,505 (2020)","93,084 (2021)","100,337 (2022)","","Yes"
"REMONDIS Sweden AB.","5,427","184","Ground Transportation - Trucking Transportation","","","1","5,614 (2021)","5,427 (2022)","","","Yes"
"RWE AG","83,700,000","30,920","Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)","","","1","112,300,000 (2021)","109,300,000 (2022)","83,700,000 (2023)","","Yes"
"Ratos AB","52","","","","","0","52 (2022)","","","","Yes"
"Raytheon Technologies","23,699,200","68,570","","","","0","26,120,000 (2021)","23,699,200 (2022)","","","Yes"
"Recipharm","1,828,439","1,293","Pharmaceuticals, Biotechnology and Life Sciences","","","1","1,697,115 (2021)","1,828,439 (2022)","","","Yes"
"Red Glead Discovery AB","842","6","Pharmaceuticals, Biotechnology and Life Sciences","2021.0","2045.0","3","642 (2020)","821 (2021)","842 (2022)","","Yes"
"Rejlers AB","2,525","330","Construction and Engineering","","","0","2,525 (2022)","","","","Yes"
"Reliance Industries","49,700,000","109,430","","","","0","45,920,000 (2020)","45,920,000 (2021)","49,700,000 (2022)","","Yes"
"Resona Utveckling AB","3,119","","Homebuilding","","","1","12,581 (2021)","3,119 (2022)","","","Yes"
"Resurs Holding AB (publ)","764","400","","","","0","764 (2022)","","","","Yes"
"Riksbyggen","60,570","776","Real Estate","","","1","87,884 (2020)","69,937 (2021)","60,570 (2022)","","Yes"
"Rikshem AB","70,387","328","Real Estate","","","1","74,941 (2020)","70,490 (2022)","70,387 (2023)","","Yes"
"Roche Holding","4,904,998","66,260","","","","0"," (2020)","4,904,998 (2022)","","","Yes"
"Rockwool Group","2,380,000","3,918","Building Products","","","1","2,480,000 (2020)","2,770,000 (2021)","2,670,000 (2022)","2,380,000 (2023)","Yes"
"Rottneros","123,322","286","","","","0","123,322 (2022)","","","","Yes"
"RugVista AB","51,925","64","Retailing","","","1","229 (2020)","63,252 (2021)","51,925 (2022)","","Yes"
"SANOFI","5,007,437","45,190","Pharmaceuticals, Biotechnology and Life Sciences","2019.0","2045.0","4","5,987,319 (2020)","4,928,913 (2021)","5,007,437 (2022)","","Yes"
"SAP","1,998,000","32,480","","","","0","1,998,000 (2022)","","","","Yes"
"SAS","3,098,100","3,961","","","","0","2,451,600 (2022)","3,098,100 (2023)","","","Yes"
"SBAB","59,494","2,397","Banks, Diverse Financials, Insurance","","","0","601 (2020)","462 (2021)","58,313 (2022)","59,494 (2023)","Yes"
"SCA","839,000","1,705","","","","0","960,000 (2019)","753,000 (2022)","839,000 (2023)","","Yes"
"SCANIA CV","143,829,300","19,338","Electrical Equipment and Machinery","","","1","112,356,800 (2020)","143,363,200 (2021)","134,146,200 (2022)","143,829,300 (2023)","Yes"
"SEB","13,251","7,562","","","","0","9,608 (2021)","11,610 (2022)","13,251 (2023)","","Yes"
"SK Hynix","5,035,786","27,000","","","","0","5,035,786 (2020)","","","","Yes"
"SSAB","11,072,000","11,268","Mining - Iron, Aluminum, Other Metals","2018.0","2045.0","4","22,988,000 (2018)","11,581,000 (2019)","10,810,000 (2020)","11,670,000 (2021)","Yes"
"Saab AB","667,837","4,867","Aerospace and Defense","2020.0","2050.0","4","646,164 (2020)","183,084 (2021)","678,953 (2022)","667,837 (2023)","Yes"
"Salesforce","525,801","21,300","","","","0","525,801 (2020)","","","","Yes"
"Samhällsbyggnadsbolaget i Norden AB","36,502","739","Real Estate","","","1","30,641 (2021)","36,502 (2022)","","","Yes"
"Sampo plc","23,411","9,111","Banks, Diverse Financials, Insurance","","","0","10,642 (2021)","21,543 (2022)","23,411 (2023)","","Yes"
"Samsung Electronics","139,768,000","220,070","","","","0","29,531,000 (2020)","139,768,000 (2022)","","","Yes"
"Sandvik Group","141,000","11,929","Electrical Equipment and Machinery","2019.0","2050.0","4"," (2019)","9,139,000 (2022)","141,000 (2023)","","Yes"
"Santander","374,292","87,740","","","","0","404,763 (2021)","374,292 (2022)","","","Yes"
"Saudi Arabian Oil Company (Saudi Aramco)","71,800,000","589,470","","","","0","67,000,000 (2020)","67,800,000 (2021)","71,800,000 (2022)","","Yes"
"Scandi Standard AB","927,560","1,227","Food and Beverage Processing","","","1","880,155 (2021)","810,442 (2022)","927,560 (2023)","","Yes"
"Scandic Hotels Group","34,992","21,935","","","","0","75,540 (2019)","25,472 (2020)","28,175 (2021)","28,106 (2022)","Yes"
"Schneider Electric","61,181,844","35,920","Electrical Equipment and Machinery","2021.0","2050.0","3","69,195,917 (2021)","61,181,844 (2022)","","","Yes"
"Sdiptech","5,684","336","","","","0","5,684 (2022)","","","","Yes"
"Sectra","556","132","","","","0","556 (2022)","","","","Yes"
"Securitas AB","1,916,720","14,829","Professional Services","","","1","201,898 (2021)","2,212,444 (2022)","1,916,720 (2023)","","Yes"
"SeenThis AB","5,907","11","Software and Services","2021.0","2040.0","3","3,974 (2021)","5,907 (2022)","","","Yes"
"Serneke Group AB (publ)","92,190","913","","","","0","1,795 (2020)","2,484 (2021)","92,190 (2022)","","Yes"
"Seven & i Holdings Co., Ltd.","12,618,799","88,030","Food and Staples Retailing","","","0","2,768,932 (2020)","12,618,799 (2022)","","","Yes"
"Shell","57,000,000","323,183","","","","0","80,000,000 (2019)","71,000,000 (2020)","68,000,000 (2021)","58,000,000 (2022)","Yes"
"Shinhan Financial Group","90,877","22,900","Banks, Diverse Financials, Insurance","","","2","90,877 (2020)","","","","Yes"
"Siemens AG","458,188,000","75,874","Electrical Equipment and Machinery","2019.0","2050.0","3","482,307,000 (2021)","458,188,000 (2022)","","","Yes"
"Sinopec","161,790,000","453,560","","","","0","172,560,000 (2021)","161,790,000 (2022)","","","Yes"
"Skanska AB","1,176,000","15,764","Construction and Engineering","","","2","402,000 (2015)","2,210,000 (2020)","1,922,000 (2021)","1,834,000 (2022)","Yes"
"SkiStar AB","150,467","425","Hotels, Restaurants and Leisure, and Tourism Services","","","2","4,275 (2020)","127,274 (2021)","150,467 (2022)","","Yes"
"Sky Group","2,341,414","18,567","Media","","","1","2,341,414 (2020)","","","","Yes"
"SoftBank Corp.","3,742,416","70,300","Telecommunication Services","2022.0","2050.0","4","3,742,416 (2020)","","","","Yes"
"Sony Group Corporation","21,420,000","85,150","Consumer Durables, Household and Personal Products","2018.0","2040.0","4","18,470,000 (2020)","18,594,000 (2021)","21,420,000 (2022)","","Yes"
"Southern Company","123,500,000","29,279","","","","0","111,900,000 (2020)","117,500,000 (2021)","123,500,000 (2022)","","Yes"
"Specialfastigheter Sverige AB","32,450","289","Real Estate","","","1","2,620 (2021)","5,343 (2022)","32,450 (2023)","","Yes"
"Spendrups Bryggeri AB","150,356","460","Food and Beverage Processing","","","1","150,356 (2022)","","","","Yes"
"State Bank of India","1,285,232","56,540","","","","0","1,259,235 (2020)","1,305,510 (2021)","1,285,232 (2022)","","Yes"
"Stellantis NV","460,680,249","205,162","","","","0","527,200,000 (2021)","450,643,124 (2022)","460,680,249 (2023)","","Yes"
"Stena Recycling Group","73,700","","Solid Waste Management Utilities","2021.0","2050.0","3","63,600 (2020)","68,600 (2021)","73,700 (2022)","","Yes"
"Stillfront Group AB (publ)","57,395","709","Software and Services","","","2","57,395 (2022)","","","","Yes"
"Stora Enso","6,470,000","10,170","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","","","1","9,480,000 (2020)","9,970,000 (2021)","7,570,000 (2022)","6,470,000 (2023)","Yes"
"Storskogen Group","42,673","1,937","Banks, Diverse Financials, Insurance","","","0","42,673 (2021)","","","","Yes"
"Storytel AB (publ)","1,798","329","Media","","","0","3,173 (2022)","1,798 (2023)","","","Yes"
"Strawberry","49,439","","","","","0","44,296 (2019)","52,612 (2020)","42,240 (2021)","49,439 (2022)","Yes"
"Sumitomo Mitsui Financial","1,155,462","41,540","","","","0","161,733 (2021)","1,155,462 (2022)","","","Yes"
"Sun Life Financial","59,657","31,560","","","","0","67,786 (2020)","56,524 (2021)","59,657 (2022)","","Yes"
"Suncor Energy","34,970,000","17,390","","","","0","34,150,000 (2021)","34,970,000 (2022)","","","Yes"
"Svedbergs Group","325","96","","","","0","325 (2021)","","","","Yes"
"Svenska Handelsbanken publ.","9,369","15,070","Banks, Diverse Financials, Insurance","","","0","12,486 (2019)","10,135 (2020)","8,007 (2021)","9,304 (2022)","Yes"
"Swedbank AB","19,777","6,889","Banks, Diverse Financials, Insurance","","","0","9,201 (2021)","14,559 (2022)","19,777 (2023)","","Yes"
"Swedish Orphan Biovitrum","126,117","2,086","","","","0","1,592 (2016)","2,501 (2019)","2,720 (2020)","975 (2021)","Yes"
"Sydbank","790,549","1,067","","","","0","3,079 (2019)","798,547 (2022)","790,549 (2023)","","Yes"
"Systemair AB","1,418,272","1,175","Electrical Equipment and Machinery","","","0","1,418,272 (2022)","","","","Yes"
"TD Bank Group","1,286,349","56,720","","","","0","1,906,028 (2020)","1,351,113 (2021)","1,286,349 (2022)","","Yes"
"TELEFÓNICA","2,821,685","49,100","Telecommunication Services","2015.0","2040.0","3","2,821,685 (2020)","","","","Yes"
"TUIfly Nordic AB","6,656","22,369","","","","0","41 (2020)","28 (2021)","6,628 (2022)","6,656 (2023)","Yes"
"Taiwan Semiconductor","18,987,712","75,030","","","","0","15,421,696 (2020)","16,353,691 (2021)","18,987,712 (2022)","","Yes"
"Takeda Pharmaceutical Company","5,734,000","29,990","Pharmaceuticals, Biotechnology and Life Sciences","2016.0","2040.0","7","5,734,000 (2022)","","","","Yes"
"Target Corporation","69,482,397","109,120","Retailing","","","2","66,980,877 (2020)","71,265,457 (2021)","69,482,397 (2022)","","Yes"
"TechnipFMC","266,429","7,827","","","","0","278,979 (2021)","282,828 (2022)","266,429 (2023)","","Yes"
"Tele2 AB","274,731","2,744","Telecommunication Services","2019.0","2035.0","4","289,529 (2019)","257,002 (2022)","274,731 (2023)","","Yes"
"Telenor Group","2,908,186","7,627","Telecommunication Services","2019.0","2045.0","4","3,400,283 (2019)","2,931,592 (2022)","2,908,186 (2023)","","Yes"
"Telia Company","11,907","8,372","Telecommunication Services","2018.0","2040.0","4","1,239,558 (2018)","1,162,934 (2020)","1,016,030 (2021)","1,161,332 (2022)","Yes"
"Tencent Holdings Limited","5,739,724","82,410","Software and Services","","","1","5,871,780 (2021)","5,739,724 (2022)","","","Yes"
"Tesla Inc.","28,720,000","86,030","Automobiles and Components","","","0","2,542,000 (2021)","28,720,000 (2022)","","","Yes"
"The Coca-Cola Company","5,413,463","43,310","Food and Beverage Processing","","","0","","","","","Yes"
"The Home Depot","5,253,500","157,400","Retailing","","","1","4,737,000 (2020)","1,649,000 (2021)","5,253,500 (2022)","","Yes"
"The Kroger Co.","6,957,969","132,500","Food and Staples Retailing","","","0","","","","","Yes"
"The Walt Disney Company","1,603,776","84,070","Media","","","0","","","","","Yes"
"Thermo Fisher Scientific Inc.","13,337,413","43,810","Pharmaceuticals, Biotechnology and Life Sciences","2018.0","2050.0","4","13,585,168 (2021)","13,337,413 (2022)","","","Yes"
"Thule Group AB","173,319","861","Consumer Durables, Household and Personal Products","2019.0","2050.0","3","266,397 (2019)","228,231 (2020)","325,759 (2021)","262,141 (2022)","Yes"
"TietoEVRY","207,018","3,086","Software and Services","","","2","12,355 (2020)","6,480 (2021)","235,526 (2022)","207,018 (2023)","Yes"
"Tobii Dynavox","2,049","117","","","","0","2,049 (2022)","","","","Yes"
"Tokio Marine Holdings, Inc.","80,201","48,670","Banks, Diverse Financials, Insurance","","","0","89,894 (2020)","83,483 (2021)","80,201 (2022)","","Yes"
"TotalEnergies SE","389,000,000","237,128","","","","0","428,000,000 (2022)","389,000,000 (2023)","","","Yes"
"Toyota Motor Corporation","575,730,000","270,490","Automobiles and Components","","","2","395,720,000 (2021)","575,730,000 (2022)","","","Yes"
"Travelers","48,244","37,790","","","","0","45,275 (2020)","37,956 (2021)","48,244 (2022)","","Yes"
"Truist Financial","254,743","28,000","","","","0","407,764 (2020)","256,105 (2021)","254,743 (2022)","","Yes"
"Tryg","4,180","40,195","","","","0","3,926 (2022)","4,180 (2023)","9,376 (2019)","","Yes"
"UBS","131,920","39,890","","","","0","207,711 (2020)","151,164 (2021)","131,920 (2022)","","Yes"
"UPM-Kymmene Corporation","11,330,000","11,322","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","","","1","11,300,000 (2021)","11,330,000 (2023)","","","Yes"
"UniCredit","85,244","21,030","","","","0","171,797 (2021)","85,244 (2022)","","","Yes"
"Unilever plc","35,390,000","63,110","Consumer Durables, Household and Personal Products","","","1","61,167,269 (2020)","104,174,864 (2021)","35,390,000 (2022)","","Yes"
"Union Pacific Corporation","15,316,383","25,070","Ground Transportation - Railroads Transportation","","","1","12,125,628 (2020)","13,059,452 (2021)","15,316,383 (2022)","","Yes"
"Uniper SE","97,651,529","116,807","","","","0","146,466,995 (2022)","97,651,529 (2023)","","","Yes"
"United Parcel Service","33,159,000","98,550","","","","0","37,937 (2020)","35,808,000 (2021)","33,159,000 (2022)","","Yes"
"UnitedHealth Group","14,294,830","335,940","Banks, Diverse Financials, Insurance","","","0","394,733 (2020)","12,975,241 (2021)","14,294,830 (2022)","","Yes"
"VNV Global","8","","","","","0","8 (2021)","","","","Yes"
"Valero Energy","286,000","114,000","","","","0","286,000 (2021)","","","","Yes"
"Valmet","64,743,500","5,988","Electrical Equipment and Machinery","","","1","64,743,500 (2023)","","","","Yes"
"Vasakronan AB","37,216","864","Real Estate","","","1","66,949 (2016)","47,942 (2019)","46,770 (2020)","49,616 (2021)","Yes"
"Vattenfall AB","16,200,000","23,773","Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)","2017.0","2040.0","3","20,600,000 (2020)","21,500,000 (2021)","16,200,000 (2022)","","Yes"
"Veidekke Entreprenad","125,729","4,036","","","","0","1,053,259 (2020)","980,705 (2021)","125,729 (2022)","","Yes"
"Verizon Communications","19,131,492","134,350","","","","0","19,131,492 (2021)","","","","Yes"
"Vestas Wind Systems","7,769,000","16,649","Electrical Equipment and Machinery","","","1","10,687,000 (2020)","10,662,000 (2021)","8,280,000 (2022)","7,769,000 (2023)","Yes"
"Vestum","44,900","665","Construction and Engineering","","","0","44,900 (2022)","","","","Yes"
"Viaplay Group AB","92,700","1,490","Media","","","2","92,700 (2022)","","","","Yes"
"Vimian Group","1,793","289","","","","0","1,793 (2022)","","","","Yes"
"Visa Inc.","471,200","30,980","Software and Services","","","1","413,900 (2020)","384,200 (2021)","471,200 (2022)","","Yes"
"Vitol","30,800,000","","","","","0","26,100,000 (2021)","28,300,000 (2022)","30,800,000 (2023)","","Yes"
"Vitrolife Group","2,817","186","Healthcare Equipment and Supplies","","","0","2,817 (2021)","","","","Yes"
"Vodafone Group Plc","2,670,000","49,740","Telecommunication Services","2020.0","2040.0","4","11,450,000 (2020)","10,680,000 (2021)","2,670,000 (2022)","","Yes"
"Volati","5,160","748","","","","0","5,160 (2022)","","","","Yes"
"Volkswagen AG","419,940,000","302,044","Automobiles and Components","","","2","402,980,000 (2022)","419,940,000 (2023)","","","Yes"
"Volvo Car Group","266,294,000","52,126","Automobiles and Components","","","1","323,381,000 (2019)","287,323,000 (2022)","266,294,000 (2023)","","Yes"
"WPP Plc","5,161,438","15,404","Media","","","2","5,161,438 (2020)","","","","Yes"
"Wallenstam AB","15,892","257","Real Estate","","","1","5,230 (2018)","34,744 (2019)","12,009 (2021)","17,178 (2022)","Yes"
"Walmart Inc.","13,990,000","611,290","Food and Staples Retailing","","","2","15,930,000 (2020)","15,930,000 (2021)","13,990,000 (2022)","","Yes"
"Wells Fargo","2,718,080","108,930","","","","0","3,244,261 (2020)","2,778,825 (2021)","2,718,080 (2022)","","Yes"
"Westpac Banking Group","3,343","18,710","","","","0","190,068 (2020)","4,041 (2021)","3,343 (2022)","","Yes"
"Wihlborgs Fastigheter","18,501","320","Real Estate","2018.0","2045.0","3","18,501 (2022)","","","","Yes"
"World Courier Sweden AB","147,662,236","230,000","","","","0","147,662,236 (2022)","","","","Yes"
"Wärtsilä Oyj","2,073,903","6,511","","","","0","1,409,017 (2020)","1,503,973 (2021)","2,018,334 (2022)","2,073,903 (2023)","Yes"
"Xano Industri","8,182","337","","","","0","8,182 (2022)","","","","Yes"
"Zurich Insurance Group Ltd","55,119","41,890","Banks, Diverse Financials, Insurance","","","0","66,709 (2020)","48,555 (2021)","55,119 (2022)","","Yes"
"engcon AB","58,561","187","Electrical Equipment and Machinery","","","1","58,561 (2022)","","","","Yes"
"Ørsted","7,217,000","11,508","Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)","2006.0","2040.0","4","13,494,000 (2022)","7,217,000 (2023)","","","Yes"
